zone_id,zone_name,x_km,y_km,area_km2,population_10k,daily_calls,daily_calls_per_km2,nearest_hospital_km,nearest_site_distance_km
1,老城核心区,2.0,3.0,3.0,12.0,28.0,9.333333333333334,3.2,0.0
2,火车站商圈,6.0,2.0,2.0,6.0,15.0,7.5,4.1,0.0
3,滨江住宅区,4.0,6.0,4.0,10.0,18.0,4.5,5.8,0.0
4,大学城,8.0,5.0,5.0,8.0,10.0,2.0,6.2,0.0
5,高新技术开发区,1.0,8.0,6.0,5.0,8.0,1.3333333333333333,7.5,0.0
6,工业物流园区,10.0,3.0,7.0,3.0,6.0,0.8571428571428571,8.3,0.0
7,新城住宅区,5.0,7.0,5.0,14.0,20.0,4.0,5.1,1.4142135623730951
8,商贸中心,9.0,4.0,3.0,9.0,22.0,7.333333333333333,3.8,1.4142135623730951
9,郊区安置区,3.0,1.0,6.0,7.0,9.0,1.5,9.2,2.23606797749979
10,风景区,7.0,8.0,4.0,2.0,4.0,1.0,10.1,3.1622776601683795
