candidate,strategy,seed,calls,mean_response_min,mean_ideal_chain_min,p95_ideal_chain_min,strict_4min_rate,median_response_min,p90_response_min,p95_response_min,mean_wait_min,mean_delay_penalty_yuan_per_call,mean_daily_delay_penalty_yuan,wait_probability,max_wait_min,max_queue,mean_queue,terminal_queue,mean_end_backlog,max_end_backlog,regional_mean_gap_min,worst_region_mean_min,max_daily_dispatches_per_ambulance,daily_cap_hit_rate,mean_c_loss_min,max_c_loss_min,reserve_dispatches
A,A,200000,980,5.795234045245624,12.778499351368074,21.27406836728532,0.423469387755102,4.885618083164127,8.497474167490214,12.005628347533571,0.5951617371381723,443.7406866001452,62123.69612402032,0.0397959183673469,43.15393281340221,6,0.0578629466662111,3,0.4285714285714285,3,3.676399028837309,7.893045451445687,12,0.8095238095238095,,,
A,A,200001,980,5.636799384934689,12.625098704662582,20.683036880224503,0.4153061224489796,4.885618083164127,8.497474167490214,9.817769037693145,0.4941387432897407,410.4211014767337,57458.95420674272,0.0336734693877551,38.73729768130579,5,0.0480412667087247,1,1.7142857142857142,3,3.927949674137313,8.362067723985723,12,0.7857142857142857,,,
A,A,200002,980,5.482146874299621,12.495072044367648,20.683036880224503,0.4244897959183673,4.885618083164127,8.497474167490214,10.774602526460402,0.2102037654295878,381.3004302498821,53382.0602349835,0.0336734693877551,23.16299571768468,5,0.0204364771945432,0,0.5714285714285714,2,4.773669962104803,8.939544517710258,12,0.7738095238095238,,,
B_beta0.5_delta0.5,B,200000,980,5.898460385523843,12.881725691646292,21.27406836728532,0.4275510204081633,4.885618083164127,8.497474167490214,12.005823944996177,0.7435188474679976,465.2022811864013,65128.31936609618,0.0387755102040816,69.84282734728913,6,0.0722865546149442,3,0.7142857142857143,3,3.528402784395292,8.030781417955337,12,0.7857142857142857,1.286496476371623,61.500419553854485,
B_beta0.5_delta0.5,B,200001,980,5.742776494077181,12.731075813805074,20.683036880224503,0.4193877551020408,4.885618083164127,8.497474167490214,11.43274042711568,0.5949008679909992,432.4328498358444,60540.59897701821,0.0357142857142857,40.64261579179583,5,0.0578375843880138,0,1.4285714285714286,3,4.684886130011639,8.75428941555111,12,0.8095238095238095,1.1733113014466785,37.61117199990033,
B_beta0.5_delta0.5,B,200002,980,5.612195122356655,12.62512029242468,20.683036880224503,0.4214285714285714,4.885618083164127,8.497474167490214,11.110350040397623,0.3471902322968793,406.69783496332985,56937.69689486618,0.0438775510204081,24.338950853089045,4,0.0337546059177521,0,1.1428571428571428,4,4.608042284596683,9.024557377299905,12,0.7976190476190477,1.0576170484352043,24.41543751760558,
B_beta0.5_delta1,B,200000,980,5.7083467298077455,12.691612035930197,20.683036880224503,0.4295918367346938,4.885618083164127,8.497474167490214,11.5374989832438,0.5663274183668531,427.5877133084878,59862.27986318829,0.036734693877551,62.65079134692496,5,0.0550596101189996,3,0.4285714285714285,3,3.7929411882180712,7.929117637586694,12,0.7857142857142857,1.2606568306431016,61.50041955386312,
B_beta0.5_delta1,B,200001,980,5.5467764274967015,12.535075747224592,20.005904885351853,0.423469387755102,4.885618083164127,8.497474167490214,9.79869268479038,0.4228642783330338,394.0491630503606,55166.88282705048,0.0316326530612244,40.64261579179583,4,0.0411118048379338,0,1.2857142857142858,3,4.540854945079331,8.75428941555111,12,0.8095238095238095,1.1644717913320528,35.28054993358733,
B_beta0.5_delta1,B,200002,980,5.635465777291123,12.64839094735915,20.683036880224503,0.4193877551020408,4.885618083164127,8.497474167490214,11.110350040397623,0.343813363798613,410.9438026849175,57532.13237588845,0.0408163265306122,35.187194264093705,4,0.0334262992581984,0,1.1428571428571428,4,4.430815860243347,8.99862456812455,12,0.8214285714285714,1.0330192214039071,30.11088187604029,
B_beta0.5_delta1.5,B,200000,980,5.8410671779884105,12.824332484110858,21.134597874359724,0.4336734693877551,4.885618083164127,8.96284793999944,12.428090415820634,0.685721278200272,454.948129475233,63692.73812653263,0.0387755102040816,62.65079134692496,5,0.0666673464916931,3,0.5714285714285714,3,3.3887481996320377,7.960327434783363,12,0.8095238095238095,1.2690536000365846,50.71670204836904,
B_beta0.5_delta1.5,B,200001,980,5.375325934196359,12.363625253924251,19.79869268479038,0.4326530612244898,4.885618083164127,8.497474167490214,9.79869268479038,0.2845008351435298,361.5957990841696,50623.41187178375,0.0244897959183673,36.62467851156544,3,0.027659803416732,1,0.5714285714285714,2,4.4338054738226,8.598120951033124,12,0.7976190476190477,1.0442959824818914,34.517938583779184,
B_beta0.5_delta1.5,B,200002,980,5.547357567374666,12.560282737442693,20.683036880224503,0.4275510204081633,4.885618083164127,8.497474167490214,10.785872400137372,0.2800729866981523,394.95481376285056,55293.67392679908,0.0346938775510204,35.187194264093705,4,0.0272293181512092,0,0.8571428571428571,3,4.430548681016368,8.851741332250032,12,0.8095238095238095,0.9735173936623136,30.11088187604029,
B_beta0.5_delta2,B,200000,980,5.835057432774259,12.818322738896708,21.134597874359724,0.4346938775510204,4.885618083164127,8.96284793999944,12.428090415820634,0.685721278200272,453.95026206505577,63553.03668910781,0.0387755102040816,62.65079134692496,5,0.0666673464916931,3,0.5714285714285714,3,3.3887481996320377,7.960327434783363,12,0.8095238095238095,1.2627205510575694,50.71670204836904,
B_beta0.5_delta2,B,200001,980,5.4231842398729935,12.411483559600883,19.808325959418703,0.4377551020408163,4.885618083164127,8.497474167490214,9.79869268479038,0.3233255822342397,372.1878683827619,52106.301573586665,0.0244897959183673,36.62467851156544,4,0.0314344316061066,1,0.7142857142857143,2,4.602741323671134,8.667475707634333,12,0.8214285714285714,1.0302088051445029,34.517938583779184,
B_beta0.5_delta2,B,200002,980,5.567891562456246,12.580816732524276,20.683036880224503,0.4336734693877551,4.885618083164127,8.659381033314585,11.110350040397623,0.3230963070967771,400.28610257508495,56040.054360511895,0.0408163265306122,35.187194264093705,5,0.0314121409677422,1,1.2857142857142858,3,4.289102530350325,8.872121728355577,12,0.8214285714285714,0.9745150118920544,30.11088187604029,
B_beta0_delta0.5,B,200000,980,5.905525596300814,12.888790902423263,21.27406836728532,0.4275510204081633,4.885618083164127,8.497474167490214,12.005823944996177,0.7435188474679976,466.6153233417955,65326.14526785137,0.0387755102040816,69.84282734728913,6,0.0722865546149442,3,0.7142857142857143,3,3.528402784395292,8.030781417955337,12,0.7857142857142857,1.2791281304584077,61.500419553854485,
B_beta0_delta0.5,B,200001,980,5.749083142484346,12.737382462212237,20.683036880224503,0.4193877551020408,4.885618083164127,8.497474167490214,11.43274042711568,0.5949008679909992,433.6941795172773,60717.18513241882,0.0357142857142857,40.64261579179583,5,0.0578375843880138,0,1.4285714285714286,3,4.684886130011639,8.75428941555111,12,0.8095238095238095,1.1811638072108976,37.61117199990033,
B_beta0_delta0.5,B,200002,980,5.612084111778662,12.625009281846689,20.683036880224503,0.4204081632653061,4.885618083164127,8.497474167490214,11.110350040397623,0.3471902322968793,406.4715512150782,56906.01717011095,0.0438775510204081,24.338950853089045,4,0.0337546059177521,0,1.1428571428571428,4,4.651936856623934,9.024557377299905,12,0.8095238095238095,1.056965188036532,24.41543751760558,
B_beta0_delta1,B,200000,980,5.743907268141683,12.727172574264133,21.134597874359724,0.4295918367346938,4.885618083164127,8.497474167490214,11.559804003776597,0.5978031056258817,434.6998209752755,60857.974936538565,0.0387755102040816,62.65079134692496,5,0.058119746380294,3,0.4285714285714285,3,3.943660087980782,8.030781417955337,12,0.7857142857142857,1.2561241064982656,61.50041955386312,
B_beta0_delta1,B,200001,980,5.754012623562137,12.742311943290028,20.683036880224503,0.4214285714285714,4.885618083164127,8.497474167490214,11.005517502019876,0.6000409457938596,435.0882389981417,60912.35345973984,0.0346938775510204,42.75523496153619,4,0.058337314174403,0,1.7142857142857142,4,4.486376082350919,8.75428941555111,12,0.8214285714285714,1.2223233851293631,51.048518485681136,
B_beta0_delta1,B,200002,980,5.63535476671313,12.648279936781158,20.683036880224503,0.4183673469387755,4.885618083164127,8.497474167490214,11.110350040397623,0.343813363798613,410.7175189366658,57500.452651133215,0.0408163265306122,35.187194264093705,4,0.0334262992581984,0,1.1428571428571428,4,4.474710432270597,8.99862456812455,12,0.8333333333333334,1.0326736973221804,30.11088187604029,
B_beta0_delta1.5,B,200000,980,5.919882401161681,12.903147707284132,21.27406836728532,0.4326530612244898,4.885618083164127,8.96284793999944,12.442026554314957,0.7351608592097568,470.5070924772343,65870.9929468128,0.0428571428571428,62.95786216259148,5,0.0714739724231708,3,0.5714285714285714,3,3.5341819468606186,8.061991215152007,12,0.8095238095238095,1.2563556204728827,50.71670204836904,
B_beta0_delta1.5,B,200001,980,5.273409704153014,12.261709023880906,19.565288248904995,0.4336734693877551,4.885618083164127,8.497474167490214,9.79869268479038,0.1925627433866106,341.41663470815377,47798.328859141526,0.023469387755102,23.51062355828617,3,0.0187213778292538,1,0.5714285714285714,2,4.6549447789677165,8.598120951033124,12,0.7976190476190477,1.004997241228366,38.15738386833462,
B_beta0_delta1.5,B,200002,980,5.55979588971261,12.572721059780635,20.683036880224503,0.4265306122448979,4.885618083164127,8.497474167490214,11.0,0.2894482509710672,397.23839659778616,55613.37552369006,0.036734693877551,35.187194264093705,4,0.0281408021777426,0,1.0,3,4.47963327179753,8.851741332250032,12,0.8095238095238095,0.984177316731901,30.11088187604029,
