incident_zone,duration_hours,start_hour,metric,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
1,0.5,17.75,calls,0.0,0.0,0.0,10
1,1.0,17.5,calls,0.0,0.0,0.0,10
1,2.0,17.0,calls,0.0,0.0,0.0,10
1,4.0,16.0,calls,0.0,0.0,0.0,10
1,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
1,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
1,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
1,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
1,11.0,8.7,calls,0.0,0.0,0.0,10
1,12.0,8.05,calls,0.0,0.0,0.0,10
2,0.5,17.75,calls,0.0,0.0,0.0,10
2,1.0,17.5,calls,0.0,0.0,0.0,10
2,2.0,17.0,calls,0.0,0.0,0.0,10
2,4.0,16.0,calls,0.0,0.0,0.0,10
2,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
2,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
2,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
2,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
2,11.0,8.7,calls,0.0,0.0,0.0,10
2,12.0,8.05,calls,0.0,0.0,0.0,10
3,0.5,17.75,calls,0.0,0.0,0.0,10
3,1.0,17.5,calls,0.0,0.0,0.0,10
3,2.0,17.0,calls,0.0,0.0,0.0,10
3,4.0,16.0,calls,0.0,0.0,0.0,10
3,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
3,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
3,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
3,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
3,11.0,8.7,calls,0.0,0.0,0.0,10
3,12.0,8.05,calls,0.0,0.0,0.0,10
4,0.5,17.75,calls,0.0,0.0,0.0,10
4,1.0,17.5,calls,0.0,0.0,0.0,10
4,2.0,17.0,calls,0.0,0.0,0.0,10
4,4.0,16.0,calls,0.0,0.0,0.0,10
4,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
4,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
4,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
4,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
4,11.0,8.7,calls,0.0,0.0,0.0,10
4,12.0,8.05,calls,0.0,0.0,0.0,10
5,0.5,17.75,calls,0.0,0.0,0.0,10
5,1.0,17.5,calls,0.0,0.0,0.0,10
5,2.0,17.0,calls,0.0,0.0,0.0,10
5,4.0,16.0,calls,0.0,0.0,0.0,10
5,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
5,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
5,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
5,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
5,11.0,8.7,calls,0.0,0.0,0.0,10
5,12.0,8.05,calls,0.0,0.0,0.0,10
6,0.5,17.75,calls,0.0,0.0,0.0,10
6,1.0,17.5,calls,0.0,0.0,0.0,10
6,2.0,17.0,calls,0.0,0.0,0.0,10
6,4.0,16.0,calls,0.0,0.0,0.0,10
6,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
6,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
6,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
6,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
6,11.0,8.7,calls,0.0,0.0,0.0,10
6,12.0,8.05,calls,0.0,0.0,0.0,10
7,0.5,17.75,calls,0.0,0.0,0.0,10
7,1.0,17.5,calls,0.0,0.0,0.0,10
7,2.0,17.0,calls,0.0,0.0,0.0,10
7,4.0,16.0,calls,0.0,0.0,0.0,10
7,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
7,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
7,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
7,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
7,11.0,8.7,calls,0.0,0.0,0.0,10
7,12.0,8.05,calls,0.0,0.0,0.0,10
8,0.5,17.75,calls,0.0,0.0,0.0,10
8,1.0,17.5,calls,0.0,0.0,0.0,10
8,2.0,17.0,calls,0.0,0.0,0.0,10
8,4.0,16.0,calls,0.0,0.0,0.0,10
8,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
8,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
8,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
8,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
8,11.0,8.7,calls,0.0,0.0,0.0,10
8,12.0,8.05,calls,0.0,0.0,0.0,10
9,0.5,17.75,calls,0.0,0.0,0.0,10
9,1.0,17.5,calls,0.0,0.0,0.0,10
9,2.0,17.0,calls,0.0,0.0,0.0,10
9,4.0,16.0,calls,0.0,0.0,0.0,10
9,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
9,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
9,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
9,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
9,11.0,8.7,calls,0.0,0.0,0.0,10
9,12.0,8.05,calls,0.0,0.0,0.0,10
10,0.5,17.75,calls,0.0,0.0,0.0,10
10,1.0,17.5,calls,0.0,0.0,0.0,10
10,2.0,17.0,calls,0.0,0.0,0.0,10
10,4.0,16.0,calls,0.0,0.0,0.0,10
10,5.0,15.483333333333333,calls,0.0,0.0,0.0,10
10,6.0,14.983333333333333,calls,0.0,0.0,0.0,10
10,8.0,13.883333333333333,calls,0.0,0.0,0.0,10
10,10.0,10.266666666666666,calls,0.0,0.0,0.0,10
10,11.0,8.7,calls,0.0,0.0,0.0,10
10,12.0,8.05,calls,0.0,0.0,0.0,10
1,0.5,17.75,mean_response_min,-0.019798035858007258,-0.06458430448353407,0.024988232767519557,10
1,1.0,17.5,mean_response_min,0.013897540196506597,-0.007177688006576888,0.034972768399590085,10
1,2.0,17.0,mean_response_min,0.015248019380949173,-0.019245396880150856,0.049741435642049206,10
1,4.0,16.0,mean_response_min,0.014159434279027928,-0.07385729672845426,0.1021761652865101,10
1,5.0,15.483333333333333,mean_response_min,-0.008042505516852927,-0.026235916978645853,0.01015090594494,10
1,6.0,14.983333333333333,mean_response_min,-0.03392721623262318,-0.12424272529466893,0.056388292829422565,10
1,8.0,13.883333333333333,mean_response_min,-0.1917857143298555,-0.609555237306378,0.22598380864666692,10
1,10.0,10.266666666666666,mean_response_min,-0.10068968581984591,-0.2688883375360924,0.06750896589640057,10
1,11.0,8.7,mean_response_min,-0.16471935445836863,-0.413146676590884,0.08370796767414673,10
1,12.0,8.05,mean_response_min,-0.0512512107956681,-0.1320604257996791,0.029558004208342918,10
2,0.5,17.75,mean_response_min,0.0,0.0,0.0,9
2,1.0,17.5,mean_response_min,-0.03187439257562259,-0.10397927805040916,0.04023049289916397,10
2,2.0,17.0,mean_response_min,-0.12220747795031021,-0.26414084016156714,0.019725884260946694,10
2,4.0,16.0,mean_response_min,0.05309349496036351,-0.11660441413673042,0.22279140405745743,10
2,5.0,15.483333333333333,mean_response_min,-0.0035615162245060004,-0.011013170647463027,0.003890138198451027,10
2,6.0,14.983333333333333,mean_response_min,-0.0012937747799423248,-0.006772795588826944,0.004185246028942293,10
2,8.0,13.883333333333333,mean_response_min,0.015079037422740615,-0.2084670287702778,0.23862510361575903,10
2,10.0,10.266666666666666,mean_response_min,-0.033626297318062104,-0.18619920858662808,0.11894661395050388,10
2,11.0,8.7,mean_response_min,-0.03091756781464907,-0.09112819542312935,0.029293059793831205,10
2,12.0,8.05,mean_response_min,0.1340577801916761,-0.18476586827952948,0.4528814286628817,10
3,0.5,17.75,mean_response_min,-0.14709470206769304,-0.48629569330241795,0.19210628916703187,9
3,1.0,17.5,mean_response_min,0.0077311088416624155,-0.006476991884190134,0.021939209567514967,10
3,2.0,17.0,mean_response_min,0.0005830891116776371,-0.000735950098853572,0.0019021283222088463,10
3,4.0,16.0,mean_response_min,0.07813052187158469,-0.07594212036986335,0.2322031641130327,10
3,5.0,15.483333333333333,mean_response_min,-0.0008549620414825653,-0.0027890205475429265,0.0010790964645777958,10
3,6.0,14.983333333333333,mean_response_min,-0.048451637883785995,-0.16309641281799656,0.06619313705042457,10
3,8.0,13.883333333333333,mean_response_min,-0.09506967333344356,-0.2734072611256092,0.08326791445872207,10
3,10.0,10.266666666666666,mean_response_min,-0.004172685967748002,-0.014838405183443787,0.006493033247947783,10
3,11.0,8.7,mean_response_min,-0.169658163339738,-0.45910316070652696,0.11978683402705098,10
3,12.0,8.05,mean_response_min,-0.06618128211427923,-0.33675921220524274,0.20439664797668425,10
4,0.5,17.75,mean_response_min,0.0,0.0,0.0,9
4,1.0,17.5,mean_response_min,0.0,0.0,0.0,10
4,2.0,17.0,mean_response_min,0.050604228427564735,-0.06387048937772735,0.16507894623285682,10
4,4.0,16.0,mean_response_min,0.06332424530500277,-0.08937344896453678,0.21602193957454233,10
4,5.0,15.483333333333333,mean_response_min,-0.00038581681102929367,-0.01700290583967777,0.016231272217619185,10
4,6.0,14.983333333333333,mean_response_min,-0.012968462235249945,-0.057558663557673286,0.031621739087173396,10
4,8.0,13.883333333333333,mean_response_min,-0.1713119411123513,-0.49023864119151805,0.14761475896681545,10
4,10.0,10.266666666666666,mean_response_min,-0.0323012233797841,-0.057829045819489944,-0.006773400940078254,10
4,11.0,8.7,mean_response_min,0.13182549005466865,-0.13910196471195335,0.40275294482129065,10
4,12.0,8.05,mean_response_min,-0.07778374071880903,-0.18059736310204288,0.025029881664424825,10
5,0.5,17.75,mean_response_min,0.0944262872887553,-0.12332112167109097,0.3121736962486016,9
5,1.0,17.5,mean_response_min,0.03349760306948095,-0.019694199697906464,0.08668940583686836,10
5,2.0,17.0,mean_response_min,-0.019467486528719748,-0.07435012105108042,0.03541514799364093,10
