scenario,solution_id,route_A,route_B,route_C,feasible,late_count,early_count,distance_km,travel_cost_yuan,penalty_cost_yuan,total_cost_yuan,violations
normal,1,0→1→4→6→0,0→2→5→8→0,0→3→7→9→0,1,0,0,105.134495,420.537979,0.00,420.537979,
normal,2,0→1→4→6→0,0→2→5→8→0,0→3→9→7→0,1,0,0,103.871306,415.485222,0.00,415.485222,
normal,3,0→1→4→6→0,0→2→8→5→0,0→3→7→9→0,1,1,0,122.390849,489.563397,80.00,569.563397,
normal,4,0→1→4→6→0,0→2→8→5→0,0→3→9→7→0,1,1,0,121.127660,484.510640,80.00,564.510640,
normal,5,0→1→6→4→0,0→2→5→8→0,0→3→7→9→0,1,0,0,106.935341,427.741366,0.00,427.741366,
normal,6,0→1→6→4→0,0→2→5→8→0,0→3→9→7→0,1,0,0,105.672152,422.688609,0.00,422.688609,
normal,7,0→1→6→4→0,0→2→8→5→0,0→3→7→9→0,1,1,0,124.191696,496.766784,80.00,576.766784,
normal,8,0→1→6→4→0,0→2→8→5→0,0→3→9→7→0,1,1,0,122.928507,491.714027,80.00,571.714027,
disrupted,1,0→1→4→6→0,0→2→5→8→0,0→3→7→9→0,1,0,0,105.134495,420.537979,0.00,420.537979,
disrupted,2,0→1→4→6→0,0→2→5→8→0,0→3→9→7→0,1,0,0,103.871306,415.485222,0.00,415.485222,
disrupted,3,0→1→4→6→0,0→2→8→5→0,0→3→7→9→0,0,1,0,122.390849,489.563397,80.00,569.563397,B:closed_arc:2->8
disrupted,4,0→1→4→6→0,0→2→8→5→0,0→3→9→7→0,0,1,0,121.127660,484.510640,80.00,564.510640,B:closed_arc:2->8
disrupted,5,0→1→6→4→0,0→2→5→8→0,0→3→7→9→0,1,0,0,106.935341,427.741366,0.00,427.741366,
disrupted,6,0→1→6→4→0,0→2→5→8→0,0→3→9→7→0,1,0,0,105.672152,422.688609,0.00,422.688609,
disrupted,7,0→1→6→4→0,0→2→8→5→0,0→3→7→9→0,0,1,0,124.191696,496.766784,80.00,576.766784,B:closed_arc:2->8
disrupted,8,0→1→6→4→0,0→2→8→5→0,0→3→9→7→0,0,1,0,122.928507,491.714027,80.00,571.714027,B:closed_arc:2->8
