scenario,vehicle,route,sequence,node,node_name,node_type,arrival_minute,arrival_clock,service_start_minute,service_start_clock,waiting_minutes,early,late,delivered_boxes
normal,A,0→1→4→6→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
normal,A,0→1→4→6→0,1,1,配送站A,station,287.142857,04:47:09,287.142857,04:47:09,0.000000,0,0,0
normal,A,0→1→4→6→0,2,4,门店1,store,291.991589,04:51:59,291.991589,04:51:59,0.000000,0,0,15
normal,A,0→1→4→6→0,3,6,门店3,store,299.658108,04:59:39,299.658108,04:59:39,0.000000,0,0,12
normal,A,0→1→4→6→0,4,0,中央厨房,kitchen,321.342298,05:21:21,321.342298,05:21:21,0.000000,0,0,0
normal,B,0→2→5→8→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
normal,B,0→2→5→8→0,1,2,配送站B,station,288.463422,04:48:28,288.463422,04:48:28,0.000000,0,0,0
normal,B,0→2→5→8→0,2,5,门店2,store,292.296682,04:52:18,292.296682,04:52:18,0.000000,0,0,18
normal,B,0→2→5→8→0,3,8,门店5,store,323.579460,05:23:35,323.579460,05:23:35,0.000000,0,0,14
normal,B,0→2→5→8→0,4,0,中央厨房,kitchen,340.722317,05:40:43,340.722317,05:40:43,0.000000,0,0,0
normal,C,0→3→9→7→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
normal,C,0→3→9→7→0,1,3,配送站C,station,282.121831,04:42:07,282.121831,04:42:07,0.000000,0,0,0
normal,C,0→3→9→7→0,2,9,门店6,store,289.394929,04:49:24,289.394929,04:49:24,0.000000,0,0,16
normal,C,0→3→9→7→0,3,7,门店4,store,301.756819,05:01:45,301.756819,05:01:45,0.000000,0,0,20
normal,C,0→3→9→7→0,4,0,中央厨房,kitchen,326.000480,05:26:00,326.000480,05:26:00,0.000000,0,0,0
disrupted,A,0→1→4→6→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
disrupted,A,0→1→4→6→0,1,1,配送站A,station,287.142857,04:47:09,287.142857,04:47:09,0.000000,0,0,0
disrupted,A,0→1→4→6→0,2,4,门店1,store,291.991589,04:51:59,291.991589,04:51:59,0.000000,0,0,15
disrupted,A,0→1→4→6→0,3,6,门店3,store,299.658108,04:59:39,299.658108,04:59:39,0.000000,0,0,12
disrupted,A,0→1→4→6→0,4,0,中央厨房,kitchen,321.342298,05:21:21,321.342298,05:21:21,0.000000,0,0,0
disrupted,B,0→2→5→8→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
disrupted,B,0→2→5→8→0,1,2,配送站B,station,288.463422,04:48:28,288.463422,04:48:28,0.000000,0,0,0
disrupted,B,0→2→5→8→0,2,5,门店2,store,292.296682,04:52:18,292.296682,04:52:18,0.000000,0,0,18
disrupted,B,0→2→5→8→0,3,8,门店5,store,323.579460,05:23:35,323.579460,05:23:35,0.000000,0,0,14
disrupted,B,0→2→5→8→0,4,0,中央厨房,kitchen,340.722317,05:40:43,340.722317,05:40:43,0.000000,0,0,0
disrupted,C,0→3→9→7→0,0,0,中央厨房,kitchen,270.000000,04:30:00,270.000000,04:30:00,0.000000,0,0,0
disrupted,C,0→3→9→7→0,1,3,配送站C,station,282.121831,04:42:07,282.121831,04:42:07,0.000000,0,0,0
disrupted,C,0→3→9→7→0,2,9,门店6,store,289.394929,04:49:24,289.394929,04:49:24,0.000000,0,0,16
disrupted,C,0→3→9→7→0,3,7,门店4,store,301.756819,05:01:45,301.756819,05:01:45,0.000000,0,0,20
disrupted,C,0→3→9→7→0,4,0,中央厨房,kitchen,326.000480,05:26:00,326.000480,05:26:00,0.000000,0,0,0
