component_id,day,generation_kwh
PV001,1,2.788
PV001,2,2.563
PV001,3,1.632
PV001,4,0.784
PV001,5,0.431
PV001,6,2.368
PV001,7,2.606
PV001,8,2.763
PV001,9,1.504
PV001,10,2.606
PV001,11,2.735
PV001,12,1.871
PV001,13,2.494
PV001,14,0.648
PV001,15,2.425
PV002,1,2.594
PV002,2,2.422
PV002,3,1.551
PV002,4,0.758
PV002,5,0.399
PV002,6,2.259
PV002,7,2.44
PV002,8,2.607
PV002,9,1.381
PV002,10,2.395
PV002,11,2.51
PV002,12,1.713
PV002,13,2.318
PV002,14,0.601
PV002,15,2.276
PV003,1,2.642
PV003,2,2.422
PV003,3,1.568
PV003,4,0.78
PV003,5,0.411
PV003,6,2.308
PV003,7,2.519
PV003,8,2.732
PV003,9,1.41
PV003,10,2.49
PV003,11,2.657
PV003,12,1.798
PV003,13,2.406
PV003,14,0.618
PV003,15,2.382
PV004,1,2.672
PV004,2,2.411
PV004,3,1.545
PV004,4,0.756
PV004,5,0.403
PV004,6,2.259
PV004,7,2.586
PV004,8,2.734
PV004,9,1.412
PV004,10,2.505
PV004,11,2.58
PV004,12,1.809
PV004,13,2.384
PV004,14,0.604
PV004,15,2.312
PV005,1,2.788
PV005,2,2.543
PV005,3,1.664
PV005,4,0.815
PV005,5,0.426
PV005,6,2.38
PV005,7,2.726
PV005,8,2.835
PV005,9,1.474
PV005,10,2.574
PV005,11,2.686
PV005,12,1.881
PV005,13,2.543
PV005,14,0.64
PV005,15,2.418
PV006,1,2.165
PV006,2,2.06
PV006,3,1.3
PV006,4,0.643
PV006,5,0.341
PV006,6,1.838
PV006,7,2.117
PV006,8,2.239
PV006,9,1.175
PV006,10,2.028
PV006,11,2.151
PV006,12,1.438
PV006,13,1.962
PV006,14,0.501
PV006,15,1.97
PV007,1,2.306
PV007,2,2.067
PV007,3,1.351
PV007,4,0.644
PV007,5,0.355
PV007,6,1.995
PV007,7,2.157
PV007,8,2.324
PV007,9,1.226
PV007,10,2.099
PV007,11,2.25
PV007,12,1.528
PV007,13,2.075
PV007,14,0.524
PV007,15,1.956
PV008,1,1.918
PV008,2,1.74
PV008,3,1.183
PV008,4,0.571
PV008,5,0.304
PV008,6,1.658
PV008,7,1.816
PV008,8,2.016
PV008,9,1.069
PV008,10,1.783
PV008,11,1.899
PV008,12,1.273
PV008,13,1.777
PV008,14,0.454
PV008,15,1.678
PV009,1,2.071
PV009,2,1.919
PV009,3,1.221
PV009,4,0.61
PV009,5,0.318
PV009,6,1.767
PV009,7,1.998
PV009,8,2.139
PV009,9,1.099
PV009,10,1.935
PV009,11,2.087
PV009,12,1.407
PV009,13,1.869
PV009,14,0.479
PV009,15,1.798
PV010,1,1.884
PV010,2,1.751
PV010,3,1.147
PV010,4,0.544
PV010,5,0.29
PV010,6,1.616
PV010,7,1.854
PV010,8,1.921
PV010,9,1.054
PV010,10,1.84
PV010,11,1.832
PV010,12,1.269
PV010,13,1.747
PV010,14,0.435
PV010,15,1.658
PV011,1,2.416
PV011,2,2.194
PV011,3,1.411
PV011,4,0.692
PV011,5,0.37
PV011,6,2.021
PV011,7,2.235
PV011,8,2.407
PV011,9,1.271
PV011,10,2.229
PV011,11,2.348
PV011,12,1.607
PV011,13,2.189
PV011,14,0.537
PV011,15,2.086
PV012,1,2.429
PV012,2,2.295
PV012,3,1.443
PV012,4,0.696
PV012,5,0.376
PV012,6,2.11
PV012,7,2.329
PV012,8,2.466
PV012,9,1.342
PV012,10,2.299
PV012,11,2.438
PV012,12,1.651
PV012,13,2.167
PV012,14,0.577
PV012,15,2.196
PV013,1,2.368
PV013,2,2.181
PV013,3,1.404
