component_id,string,azimuth_deg,tilt_deg,rated_power_w,service_years
PV001,STR1,180.0,25.0,550.0,2.0
PV002,STR1,180.0,25.0,550.0,2.0
PV003,STR1,180.0,25.0,550.0,2.0
PV004,STR2,185.0,26.0,550.0,2.0
PV005,STR2,185.0,26.0,550.0,2.0
PV006,STR2,185.0,26.0,550.0,2.0
PV007,STR2,185.0,26.0,550.0,2.0
PV008,STR2,185.0,26.0,550.0,2.0
PV009,STR2,185.0,26.0,550.0,2.0
PV010,STR2,185.0,26.0,550.0,2.0
PV011,STR3,175.0,24.0,550.0,3.0
PV012,STR3,175.0,24.0,550.0,3.0
PV013,STR3,175.0,24.0,550.0,3.0
PV014,STR3,175.0,24.0,550.0,3.0
PV015,STR3,175.0,24.0,550.0,3.0
PV016,STR3,175.0,24.0,550.0,3.0
PV017,STR3,175.0,24.0,550.0,3.0
PV018,STR3,175.0,24.0,550.0,3.0
PV019,STR3,175.0,24.0,550.0,3.0
PV020,STR3,175.0,24.0,550.0,3.0
PV021,STR3,175.0,24.0,550.0,3.0
PV022,STR3,175.0,24.0,550.0,3.0
PV023,STR4,180.0,25.0,550.0,2.0
PV024,STR4,180.0,25.0,550.0,2.0
PV025,STR4,180.0,25.0,550.0,2.0
PV026,STR4,180.0,25.0,550.0,2.0
PV027,STR4,180.0,25.0,550.0,2.0
PV028,STR4,180.0,25.0,550.0,2.0
PV029,STR4,180.0,25.0,550.0,2.0
PV030,STR4,180.0,25.0,550.0,2.0
PV031,STR4,180.0,25.0,550.0,2.0
PV032,STR4,180.0,25.0,550.0,2.0
PV033,STR5,185.0,26.0,550.0,3.0
PV034,STR5,185.0,26.0,550.0,3.0
PV035,STR5,185.0,26.0,550.0,3.0
PV036,STR5,185.0,26.0,550.0,3.0
PV037,STR5,185.0,26.0,550.0,3.0
PV038,STR5,185.0,26.0,550.0,3.0
PV039,STR5,185.0,26.0,550.0,3.0
PV040,STR5,185.0,26.0,550.0,3.0
PV041,STR5,185.0,26.0,550.0,3.0
PV042,STR5,185.0,26.0,550.0,3.0
PV043,STR6,175.0,24.0,550.0,2.0
PV044,STR6,175.0,24.0,550.0,2.0
PV045,STR6,175.0,24.0,550.0,2.0
PV046,STR6,175.0,24.0,550.0,2.0
PV047,STR6,175.0,24.0,550.0,2.0
PV048,STR6,175.0,24.0,550.0,2.0
PV049,STR6,175.0,24.0,550.0,2.0
PV050,STR6,175.0,24.0,550.0,2.0
PV051,STR6,175.0,24.0,550.0,2.0
PV052,STR6,175.0,24.0,550.0,2.0
PV053,STR7,180.0,25.0,550.0,1.0
PV054,STR7,180.0,25.0,550.0,1.0
PV055,STR7,180.0,25.0,550.0,1.0
PV056,STR7,180.0,25.0,550.0,1.0
PV057,STR7,180.0,25.0,550.0,1.0
PV058,STR7,180.0,25.0,550.0,1.0
PV059,STR7,180.0,25.0,550.0,1.0
PV060,STR7,180.0,25.0,550.0,1.0
PV061,STR7,180.0,25.0,550.0,1.0
PV062,STR7,180.0,25.0,550.0,1.0
PV063,STR8,185.0,26.0,550.0,2.0
PV064,STR8,185.0,26.0,550.0,2.0
PV065,STR8,185.0,26.0,550.0,2.0
PV066,STR8,185.0,26.0,550.0,2.0
PV067,STR8,185.0,26.0,550.0,2.0
PV068,STR8,185.0,26.0,550.0,2.0
PV069,STR8,185.0,26.0,550.0,2.0
PV070,STR8,185.0,26.0,550.0,2.0
PV071,STR8,185.0,26.0,550.0,2.0
PV072,STR8,185.0,26.0,550.0,2.0
PV073,STR9,175.0,24.0,550.0,3.0
PV074,STR9,175.0,24.0,550.0,3.0
PV075,STR9,175.0,24.0,550.0,3.0
PV076,STR9,175.0,24.0,550.0,3.0
PV077,STR9,175.0,24.0,550.0,3.0
PV078,STR9,175.0,24.0,550.0,3.0
PV079,STR9,175.0,24.0,550.0,3.0
PV080,STR9,175.0,24.0,550.0,3.0
PV081,STR9,175.0,24.0,550.0,3.0
PV082,STR9,175.0,24.0,550.0,3.0
PV083,STR10,180.0,25.0,550.0,1.0
PV084,STR10,180.0,25.0,550.0,1.0
PV085,STR10,180.0,25.0,550.0,1.0
PV086,STR10,180.0,25.0,550.0,1.0
PV087,STR10,180.0,25.0,550.0,1.0
PV088,STR10,180.0,25.0,550.0,1.0
PV089,STR10,180.0,25.0,550.0,1.0
PV090,STR10,180.0,25.0,550.0,1.0
PV091,STR10,180.0,25.0,550.0,1.0
PV092,STR10,180.0,25.0,550.0,1.0
PV093,STR10,180.0,25.0,550.0,1.0
PV094,STR10,180.0,25.0,550.0,1.0
PV095,STR10,180.0,25.0,550.0,1.0
PV096,STR10,180.0,25.0,550.0,1.0
PV097,STR10,180.0,25.0,550.0,1.0
PV098,STR10,180.0,25.0,550.0,1.0
PV099,STR10,180.0,25.0,550.0,1.0
PV100,STR10,180.0,25.0,550.0,1.0
