day,day_label,irradiation_kwh_m2,temperature_c,wind_m_s,weather_type,is_forecast,station_generation_kwh
1,1,5.2,18.0,2.1,晴,False,266.455
2,2,4.8,17.0,2.5,晴,False,246.1280000000001
3,3,3.1,16.0,3.2,多云,False,158.863
4,4,1.5,14.0,4.0,阴,False,76.78999999999998
5,5,0.8,13.0,5.1,小雨,False,41.04100000000001
6,6,4.5,19.0,1.8,晴,False,230.25199999999998
7,7,5.0,21.0,2.0,晴,False,256.05500000000006
8,8,5.3,22.0,1.5,晴,False,271.366
9,9,2.8,20.0,3.5,多云,False,143.35000000000002
10,10,4.9,23.0,2.2,晴,False,251.41800000000003
11,11,5.1,24.0,1.9,晴,False,261.88400000000007
12,12,3.5,21.0,2.8,多云,False,179.16500000000005
13,13,4.7,20.0,2.1,晴,False,240.98699999999997
14,14,1.2,15.0,4.5,小雨,False,61.47800000000002
15,15,4.6,19.0,2.3,晴,False,235.80400000000003
16,16（预报）,5.0,22.0,2.0,晴（预测用）,True,
