rank,component_id,fault_class,deviation_pct,normal_counterfactual_kwh_day,recoverable_loss_kwh_day,loss_rounding_lower_kwh_day,loss_rounding_upper_kwh_day,cumulative_gain_kwh_day
1,PV084,热斑,-33.1,2.088690,0.691356,0.689796,0.692918,0.691356
2,PV044,热斑,-29.3,2.098727,0.614927,0.613444,0.616412,1.306283
3,PV071,热斑,-30.1,2.038340,0.613540,0.612083,0.615000,1.919824
4,PV060,热斑,-28.8,2.088858,0.601591,0.600125,0.603059,2.521415
5,PV076,热斑,-28.1,2.077979,0.583912,0.582468,0.585358,3.105327
6,PV010,热斑,-29.5,1.970875,0.581408,0.580011,0.582807,3.686735
7,PV008,热斑,-28.7,1.976531,0.567264,0.565879,0.568651,4.253999
8,PV051,热斑,-26.0,2.100901,0.546234,0.544816,0.547655,4.800233
9,PV029,热斑,-24.7,2.067729,0.510729,0.509357,0.512103,5.310963
10,PV009,热斑,-23.7,1.984884,0.470418,0.469118,0.471719,5.781380
