component_id,deviation_pct,fault_class,shading_suspect,shading_screen_status,config_dispersion,config_cutoff,config_anomaly_days,global_dispersion,global_cutoff,global_anomaly_days,string,azimuth_deg,tilt_deg,service_years,reference_label,reference_match
PV001,1.4,正常,False,未发现疑似遮挡,0.01693470694618619,0.015221232598954013,0,0.014114674796367275,0.012783297549066052,1,STR1,180.0,25.0,2.0,正常,True
PV002,-4.8,正常,False,未发现疑似遮挡,0.010012622559929523,0.015221232598954013,2,0.013684769017314741,0.012783297549066052,1,STR1,180.0,25.0,2.0,正常,True
PV003,-2.2,正常,False,未发现疑似遮挡,0.015490084929510758,0.015221232598954013,0,0.013967023007200804,0.012783297549066052,1,STR1,180.0,25.0,2.0,正常,True
PV004,-2.8,正常,False,未发现疑似遮挡,0.006068727191205799,0.013593062072553782,1,0.007887389586144072,0.012783297549066052,2,STR2,185.0,26.0,2.0,正常,True
PV005,2.4,正常,False,未发现疑似遮挡,0.011615724306352737,0.013593062072553782,0,0.014433068135748663,0.012783297549066052,0,STR2,185.0,26.0,2.0,正常,True
PV006,-19.9,热斑,False,筛查不稳定,0.019817229833426042,0.013593062072553782,4,0.011881069267056349,0.012783297549066052,1,STR2,185.0,26.0,2.0,热斑,True
PV007,-16.6,热斑,False,筛查不稳定,0.01313186795026052,0.013593062072553782,2,0.019870581101822816,0.012783297549066052,2,STR2,185.0,26.0,2.0,热斑,True
PV008,-28.7,热斑,True,疑似遮挡,0.028165756509128403,0.013593062072553782,7,0.03338128387801223,0.012783297549066052,8,STR2,185.0,26.0,2.0,热斑,True
PV009,-23.7,热斑,False,筛查不稳定,0.015898873923667352,0.013593062072553782,1,0.0162780050807414,0.012783297549066052,2,STR2,185.0,26.0,2.0,热斑,True
PV010,-29.5,热斑,False,筛查不稳定,0.01686769179484773,0.013593062072553782,2,0.01104694451093932,0.012783297549066052,3,STR2,185.0,26.0,2.0,热斑,True
PV011,-12.8,隐裂,False,未发现疑似遮挡,0.01486799546073545,0.013716026858042338,1,0.01395923977105005,0.012783297549066052,2,STR3,175.0,24.0,3.0,隐裂,True
PV012,-10.0,隐裂,False,筛查不稳定,0.015850014297881836,0.013716026858042338,1,0.01688602082252246,0.012783297549066052,2,STR3,175.0,24.0,3.0,隐裂,True
PV013,-14.7,隐裂,False,筛查不稳定,0.01669496931382235,0.013716026858042338,1,0.019089633622780138,0.012783297549066052,2,STR3,175.0,24.0,3.0,隐裂,True
PV014,-13.0,隐裂,False,筛查不稳定,0.01660164644205944,0.013716026858042338,1,0.01884126446442686,0.012783297549066052,3,STR3,175.0,24.0,3.0,隐裂,True
PV015,-8.5,隐裂,False,未发现疑似遮挡,0.013312309616383633,0.013716026858042338,0,0.01501139344777318,0.012783297549066052,0,STR3,175.0,24.0,3.0,隐裂,True
PV016,0.4,正常,False,未发现疑似遮挡,0.014632084769229054,0.013716026858042338,1,0.013415623515025473,0.012783297549066052,0,STR3,175.0,24.0,3.0,正常,True
PV017,-2.8,正常,False,筛查不稳定,0.011276024752087752,0.013716026858042338,1,0.013378091347779631,0.012783297549066052,2,STR3,175.0,24.0,3.0,正常,True
PV018,0.9,正常,False,未发现疑似遮挡,0.016748391606257074,0.013716026858042338,0,0.015624605798119076,0.012783297549066052,0,STR3,175.0,24.0,3.0,正常,True
PV019,3.1,正常,False,未发现疑似遮挡,0.009123721100573154,0.013716026858042338,1,0.01233327172370054,0.012783297549066052,2,STR3,175.0,24.0,3.0,正常,True
PV020,-4.9,正常,False,筛查不稳定,0.018400685906321854,0.013716026858042338,0,0.01927989088002511,0.012783297549066052,2,STR3,175.0,24.0,3.0,正常,True
PV021,1.6,正常,False,未发现疑似遮挡,0.006367983005180014,0.013716026858042338,0,0.005116101363017757,0.012783297549066052,0,STR3,175.0,24.0,3.0,正常,True
PV022,-7.5,隐裂,False,未发现疑似遮挡,0.01149378819332037,0.013716026858042338,0,0.01057786343841093,0.012783297549066052,0,STR3,175.0,24.0,3.0,隐裂,True
PV023,-3.4,正常,False,未发现疑似遮挡,0.0056223183602497106,0.015221232598954013,0,0.00391996127743878,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV024,-3.3,正常,False,未发现疑似遮挡,0.008063280558692185,0.015221232598954013,0,0.008639946234731766,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV025,2.2,正常,False,未发现疑似遮挡,0.007243897726906729,0.015221232598954013,0,0.00800547919582023,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV026,0.3,正常,False,未发现疑似遮挡,0.003915483359917197,0.015221232598954013,0,0.005722573122109788,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV027,2.2,正常,False,未发现疑似遮挡,0.007324548487641494,0.015221232598954013,0,0.008774117549078475,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV028,-0.7,正常,False,未发现疑似遮挡,0.008804770410653565,0.015221232598954013,0,0.0066431014465319176,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV029,-24.7,热斑,False,未发现疑似遮挡,0.011468034442890162,0.015221232598954013,3,0.015306554382140819,0.012783297549066052,2,STR4,180.0,25.0,2.0,热斑,True
PV030,0.9,正常,False,未发现疑似遮挡,0.004904192774182001,0.015221232598954013,0,0.010658314627302058,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV031,-1.3,正常,False,未发现疑似遮挡,0.010391879129793159,0.015221232598954013,0,0.006488492886328432,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV032,4.5,正常,False,未发现疑似遮挡,0.009238067859275416,0.015221232598954013,0,0.007067775525571639,0.012783297549066052,0,STR4,180.0,25.0,2.0,正常,True
PV033,-3.1,正常,False,未发现疑似遮挡,0.009668283331576556,0.013593062072553782,0,0.008019719174772389,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
PV034,-0.2,正常,False,未发现疑似遮挡,0.008607317838188624,0.013593062072553782,0,0.006677903955518761,0.012783297549066052,0,STR5,185.0,26.0,3.0,正常,True
