group_field,group,fault_class,group_total,count,rate,causal_interpretation_allowed
string,STR1,正常,3,3,1.0,False
string,STR1,隐裂,3,0,0.0,False
string,STR1,热斑,3,0,0.0,False
string,STR1,超出题面定义,3,0,0.0,False
string,STR10,正常,18,14,0.7777777777777778,False
string,STR10,隐裂,18,3,0.16666666666666666,False
string,STR10,热斑,18,1,0.05555555555555555,False
string,STR10,超出题面定义,18,0,0.0,False
string,STR2,正常,7,2,0.2857142857142857,False
string,STR2,隐裂,7,0,0.0,False
string,STR2,热斑,7,5,0.7142857142857143,False
string,STR2,超出题面定义,7,0,0.0,False
string,STR3,正常,12,6,0.5,False
string,STR3,隐裂,12,6,0.5,False
string,STR3,热斑,12,0,0.0,False
string,STR3,超出题面定义,12,0,0.0,False
string,STR4,正常,10,9,0.9,False
string,STR4,隐裂,10,0,0.0,False
string,STR4,热斑,10,1,0.1,False
string,STR4,超出题面定义,10,0,0.0,False
string,STR5,正常,10,9,0.9,False
string,STR5,隐裂,10,1,0.1,False
string,STR5,热斑,10,0,0.0,False
string,STR5,超出题面定义,10,0,0.0,False
string,STR6,正常,10,7,0.7,False
string,STR6,隐裂,10,1,0.1,False
string,STR6,热斑,10,2,0.2,False
string,STR6,超出题面定义,10,0,0.0,False
string,STR7,正常,10,8,0.8,False
string,STR7,隐裂,10,1,0.1,False
string,STR7,热斑,10,1,0.1,False
string,STR7,超出题面定义,10,0,0.0,False
string,STR8,正常,10,6,0.6,False
string,STR8,隐裂,10,1,0.1,False
string,STR8,热斑,10,3,0.3,False
string,STR8,超出题面定义,10,0,0.0,False
string,STR9,正常,10,6,0.6,False
string,STR9,隐裂,10,2,0.2,False
string,STR9,热斑,10,2,0.2,False
string,STR9,超出题面定义,10,0,0.0,False
azimuth_deg,175.0,正常,32,19,0.59375,False
azimuth_deg,175.0,隐裂,32,9,0.28125,False
azimuth_deg,175.0,热斑,32,4,0.125,False
azimuth_deg,175.0,超出题面定义,32,0,0.0,False
azimuth_deg,180.0,正常,41,34,0.8292682926829268,False
azimuth_deg,180.0,隐裂,41,4,0.0975609756097561,False
azimuth_deg,180.0,热斑,41,3,0.07317073170731707,False
azimuth_deg,180.0,超出题面定义,41,0,0.0,False
azimuth_deg,185.0,正常,27,17,0.6296296296296297,False
azimuth_deg,185.0,隐裂,27,2,0.07407407407407407,False
azimuth_deg,185.0,热斑,27,8,0.2962962962962963,False
azimuth_deg,185.0,超出题面定义,27,0,0.0,False
tilt_deg,24.0,正常,32,19,0.59375,False
tilt_deg,24.0,隐裂,32,9,0.28125,False
tilt_deg,24.0,热斑,32,4,0.125,False
tilt_deg,24.0,超出题面定义,32,0,0.0,False
tilt_deg,25.0,正常,41,34,0.8292682926829268,False
tilt_deg,25.0,隐裂,41,4,0.0975609756097561,False
tilt_deg,25.0,热斑,41,3,0.07317073170731707,False
tilt_deg,25.0,超出题面定义,41,0,0.0,False
tilt_deg,26.0,正常,27,17,0.6296296296296297,False
tilt_deg,26.0,隐裂,27,2,0.07407407407407407,False
tilt_deg,26.0,热斑,27,8,0.2962962962962963,False
tilt_deg,26.0,超出题面定义,27,0,0.0,False
service_years,1.0,正常,28,22,0.7857142857142857,False
service_years,1.0,隐裂,28,4,0.14285714285714285,False
service_years,1.0,热斑,28,2,0.07142857142857142,False
service_years,1.0,超出题面定义,28,0,0.0,False
service_years,2.0,正常,40,27,0.675,False
service_years,2.0,隐裂,40,2,0.05,False
service_years,2.0,热斑,40,11,0.275,False
service_years,2.0,超出题面定义,40,0,0.0,False
service_years,3.0,正常,32,21,0.65625,False
service_years,3.0,隐裂,32,9,0.28125,False
service_years,3.0,热斑,32,2,0.0625,False
service_years,3.0,超出题面定义,32,0,0.0,False
