component_id,fault_class,shading_suspect,shading_screen_status,config_dispersion,config_cutoff,config_anomaly_days,global_dispersion,global_cutoff,global_anomaly_days
PV001,正常,False,未发现疑似遮挡,0.01693470694618619,0.015221232598954013,0,0.014114674796367275,0.012783297549066052,1
PV002,正常,False,未发现疑似遮挡,0.010012622559929523,0.015221232598954013,2,0.013684769017314741,0.012783297549066052,1
PV003,正常,False,未发现疑似遮挡,0.015490084929510758,0.015221232598954013,0,0.013967023007200804,0.012783297549066052,1
PV004,正常,False,未发现疑似遮挡,0.006068727191205799,0.013593062072553782,1,0.007887389586144072,0.012783297549066052,2
PV005,正常,False,未发现疑似遮挡,0.011615724306352737,0.013593062072553782,0,0.014433068135748663,0.012783297549066052,0
PV006,热斑,False,筛查不稳定,0.019817229833426042,0.013593062072553782,4,0.011881069267056349,0.012783297549066052,1
PV007,热斑,False,筛查不稳定,0.01313186795026052,0.013593062072553782,2,0.019870581101822816,0.012783297549066052,2
PV008,热斑,True,疑似遮挡,0.028165756509128403,0.013593062072553782,7,0.03338128387801223,0.012783297549066052,8
PV009,热斑,False,筛查不稳定,0.015898873923667352,0.013593062072553782,1,0.0162780050807414,0.012783297549066052,2
PV010,热斑,False,筛查不稳定,0.01686769179484773,0.013593062072553782,2,0.01104694451093932,0.012783297549066052,3
PV011,隐裂,False,未发现疑似遮挡,0.01486799546073545,0.013716026858042338,1,0.01395923977105005,0.012783297549066052,2
PV012,隐裂,False,筛查不稳定,0.015850014297881836,0.013716026858042338,1,0.01688602082252246,0.012783297549066052,2
PV013,隐裂,False,筛查不稳定,0.01669496931382235,0.013716026858042338,1,0.019089633622780138,0.012783297549066052,2
PV014,隐裂,False,筛查不稳定,0.01660164644205944,0.013716026858042338,1,0.01884126446442686,0.012783297549066052,3
PV015,隐裂,False,未发现疑似遮挡,0.013312309616383633,0.013716026858042338,0,0.01501139344777318,0.012783297549066052,0
PV016,正常,False,未发现疑似遮挡,0.014632084769229054,0.013716026858042338,1,0.013415623515025473,0.012783297549066052,0
PV017,正常,False,筛查不稳定,0.011276024752087752,0.013716026858042338,1,0.013378091347779631,0.012783297549066052,2
PV018,正常,False,未发现疑似遮挡,0.016748391606257074,0.013716026858042338,0,0.015624605798119076,0.012783297549066052,0
PV019,正常,False,未发现疑似遮挡,0.009123721100573154,0.013716026858042338,1,0.01233327172370054,0.012783297549066052,2
PV020,正常,False,筛查不稳定,0.018400685906321854,0.013716026858042338,0,0.01927989088002511,0.012783297549066052,2
PV021,正常,False,未发现疑似遮挡,0.006367983005180014,0.013716026858042338,0,0.005116101363017757,0.012783297549066052,0
PV022,隐裂,False,未发现疑似遮挡,0.01149378819332037,0.013716026858042338,0,0.01057786343841093,0.012783297549066052,0
PV023,正常,False,未发现疑似遮挡,0.0056223183602497106,0.015221232598954013,0,0.00391996127743878,0.012783297549066052,0
PV024,正常,False,未发现疑似遮挡,0.008063280558692185,0.015221232598954013,0,0.008639946234731766,0.012783297549066052,0
PV025,正常,False,未发现疑似遮挡,0.007243897726906729,0.015221232598954013,0,0.00800547919582023,0.012783297549066052,0
PV026,正常,False,未发现疑似遮挡,0.003915483359917197,0.015221232598954013,0,0.005722573122109788,0.012783297549066052,0
PV027,正常,False,未发现疑似遮挡,0.007324548487641494,0.015221232598954013,0,0.008774117549078475,0.012783297549066052,0
PV028,正常,False,未发现疑似遮挡,0.008804770410653565,0.015221232598954013,0,0.0066431014465319176,0.012783297549066052,0
PV029,热斑,False,未发现疑似遮挡,0.011468034442890162,0.015221232598954013,3,0.015306554382140819,0.012783297549066052,2
PV030,正常,False,未发现疑似遮挡,0.004904192774182001,0.015221232598954013,0,0.010658314627302058,0.012783297549066052,0
PV031,正常,False,未发现疑似遮挡,0.010391879129793159,0.015221232598954013,0,0.006488492886328432,0.012783297549066052,0
PV032,正常,False,未发现疑似遮挡,0.009238067859275416,0.015221232598954013,0,0.007067775525571639,0.012783297549066052,0
PV033,正常,False,未发现疑似遮挡,0.009668283331576556,0.013593062072553782,0,0.008019719174772389,0.012783297549066052,0
PV034,正常,False,未发现疑似遮挡,0.008607317838188624,0.013593062072553782,0,0.006677903955518761,0.012783297549066052,0
PV035,正常,False,未发现疑似遮挡,0.007403147975683661,0.013593062072553782,0,0.006978984294484108,0.012783297549066052,0
PV036,隐裂,False,筛查不稳定,0.015066411569051742,0.013593062072553782,2,0.012604442509198682,0.012783297549066052,0
PV037,正常,False,未发现疑似遮挡,0.00910148478412284,0.013593062072553782,0,0.00569863399311737,0.012783297549066052,0
PV038,正常,False,未发现疑似遮挡,0.0059607728027457505,0.013593062072553782,0,0.00436860766459209,0.012783297549066052,0
PV039,正常,False,未发现疑似遮挡,0.010287592412915358,0.013593062072553782,0,0.007702578510940895,0.012783297549066052,0
PV040,正常,False,未发现疑似遮挡,0.007093469478762753,0.013593062072553782,0,0.0049231087319139555,0.012783297549066052,0
PV041,正常,False,未发现疑似遮挡,0.0017535188324406315,0.013593062072553782,0,0.006551919698308618,0.012783297549066052,0
PV042,正常,False,未发现疑似遮挡,0.0071612524531996,0.013593062072553782,0,0.008238961307372951,0.012783297549066052,0
PV043,正常,False,未发现疑似遮挡,0.006857098447354901,0.013716026858042338,0,0.0050919007055618025,0.012783297549066052,0
PV044,热斑,False,未发现疑似遮挡,0.019279579772241023,0.013716026858042338,1,0.016475585100712186,0.012783297549066052,1
