component_id,fault_class,string,mean_actual_kwh_day,deviation_pct,normal_counterfactual_kwh_day,recoverable_loss_kwh_day,reconstructed_deviation_pct,reconstruction_error_percentage_points,loss_rounding_lower_kwh_day,loss_rounding_upper_kwh_day,rank,selected
PV084,热斑,STR10,1.3973333333333333,-33.1,2.0886895864474337,0.6913562531141004,-33.09999999999999,1.4210854715202004e-14,0.6897963654468509,0.6929184741959609,1,True
PV044,热斑,STR6,1.4837999999999996,-29.3,2.0987270155586977,0.6149270155586981,-29.299999999999986,1.4210854715202004e-14,0.6134438162544167,0.616412314225053,2,True
PV071,热斑,STR8,1.4248,-30.1,2.038340486409156,0.6135404864091558,-30.099999999999994,7.105427357601002e-15,0.6120834882058613,0.6149995705082322,3,True
PV060,热斑,STR7,1.4872666666666667,-28.8,2.088857677902622,0.6015910112359553,-28.800000000000004,-3.552713678800501e-15,0.6001251461988304,0.6030589365190913,4,True
PV076,热斑,STR9,1.4940666666666667,-28.1,2.0779786740843766,0.58391200741771,-28.10000000000001,-7.105427357601002e-15,0.5824679638637943,0.5853580607747624,5,True
PV010,热斑,STR2,1.3894666666666668,-29.5,1.9708747044917259,0.581408037825059,-29.499999999999993,7.105427357601002e-15,0.5800112449799197,0.5828068133427964,6,True
PV008,热斑,STR2,1.4092666666666667,-28.7,1.9765310892940624,0.5672644226273957,-28.699999999999992,7.105427357601002e-15,0.5658793272599859,0.5686514619883041,7,True
PV051,热斑,STR6,1.5546666666666666,-26.0,2.1009009009009008,0.5462342342342341,-25.999999999999996,3.552713678800501e-15,0.5448156650911546,0.5476547216587784,8,True
PV029,热斑,STR4,1.5570000000000002,-24.7,2.067729083665339,0.5107290836653389,-24.700000000000006,-7.105427357601002e-15,0.5093570006635699,0.5121029900332227,9,True
PV009,热斑,STR2,1.5144666666666666,-23.7,1.984884228920926,0.47041756225425946,-23.7,0.0,0.46911770355817495,0.4717191256830601,10,True
