component_id,fault_class,string,mean_actual_kwh_day,deviation_pct,normal_counterfactual_kwh_day,recoverable_loss_kwh_day,reconstructed_deviation_pct,reconstruction_error_percentage_points,loss_rounding_lower_kwh_day,loss_rounding_upper_kwh_day,rank,selected
PV084,热斑,STR10,1.3973333333333333,-33.1,2.0886895864474337,0.6913562531141004,-33.09999999999999,1.4210854715202004e-14,0.6897963654468509,0.6929184741959609,1,True
PV044,热斑,STR6,1.4837999999999996,-29.3,2.0987270155586977,0.6149270155586981,-29.299999999999986,1.4210854715202004e-14,0.6134438162544167,0.616412314225053,2,True
PV071,热斑,STR8,1.4248,-30.1,2.038340486409156,0.6135404864091558,-30.099999999999994,7.105427357601002e-15,0.6120834882058613,0.6149995705082322,3,True
PV060,热斑,STR7,1.4872666666666667,-28.8,2.088857677902622,0.6015910112359553,-28.800000000000004,-3.552713678800501e-15,0.6001251461988304,0.6030589365190913,4,True
PV076,热斑,STR9,1.4940666666666667,-28.1,2.0779786740843766,0.58391200741771,-28.10000000000001,-7.105427357601002e-15,0.5824679638637943,0.5853580607747624,5,True
PV010,热斑,STR2,1.3894666666666668,-29.5,1.9708747044917259,0.581408037825059,-29.499999999999993,7.105427357601002e-15,0.5800112449799197,0.5828068133427964,6,True
PV008,热斑,STR2,1.4092666666666667,-28.7,1.9765310892940624,0.5672644226273957,-28.699999999999992,7.105427357601002e-15,0.5658793272599859,0.5686514619883041,7,True
PV051,热斑,STR6,1.5546666666666666,-26.0,2.1009009009009008,0.5462342342342341,-25.999999999999996,3.552713678800501e-15,0.5448156650911546,0.5476547216587784,8,True
PV029,热斑,STR4,1.5570000000000002,-24.7,2.067729083665339,0.5107290836653389,-24.700000000000006,-7.105427357601002e-15,0.5093570006635699,0.5121029900332227,9,True
PV009,热斑,STR2,1.5144666666666666,-23.7,1.984884228920926,0.47041756225425946,-23.7,0.0,0.46911770355817495,0.4717191256830601,10,True
PV070,热斑,STR8,1.587333333333333,-22.1,2.037655113393239,0.45032178005990575,-22.1,0.0,0.4490147530468248,0.4516304859773068,11,False
PV078,热斑,STR9,1.6540666666666666,-20.4,2.077973199329983,0.42390653266331624,-20.399999999999988,1.0658141036401503e-14,0.42260209248796815,0.4252126126126126,12,False
PV006,热斑,STR2,1.5952,-19.9,1.9915106117353307,0.3963106117353308,-19.9,0.0,0.39506824703680593,0.39755452841973765,13,False
PV067,热斑,STR8,1.6758666666666666,-17.8,2.0387672343876724,0.36290056772100576,-17.800000000000004,-3.552713678800501e-15,0.36166119554204657,0.3641414485696896,14,False
PV007,热斑,STR2,1.6571333333333333,-16.6,1.9869704236610712,0.3298370903277379,-16.600000000000005,-3.552713678800501e-15,0.32864657479528664,0.3310290341931614,15,False
PV013,隐裂,STR3,1.6993333333333334,-14.7,1.9921844470496288,0.29285111371629546,-14.700000000000003,-3.552713678800501e-15,0.29168404608474907,0.29401955034213095,16,False
PV059,隐裂,STR7,1.8030666666666668,-13.7,2.0893008883738897,0.2862342217072229,-13.700000000000001,-1.7763568394002505e-15,0.28502443543717426,0.28744541062801937,17,False
PV014,隐裂,STR3,1.7379999999999995,-13.0,1.9977011494252868,0.2597011494252872,-12.999999999999998,1.7763568394002505e-15,0.258553704767375,0.2608499137435307,18,False
PV083,隐裂,STR10,1.8337999999999999,-12.3,2.0909920182440134,0.2571920182440135,-12.299999999999994,7.105427357601002e-15,0.2560005698005698,0.2583848260125499,19,False
PV011,隐裂,STR3,1.7341999999999997,-12.8,1.988761467889908,0.2545614678899082,-12.799999999999997,3.552713678800501e-15,0.2534217765042979,0.2557024670109007,20,False
PV046,隐裂,STR6,1.872266666666667,-10.9,2.1013093901982796,0.2290427235316126,-10.900000000000006,-5.329070518200751e-15,0.2278641989156852,0.23022257158899503,21,False
PV093,隐裂,STR10,1.8799333333333332,-10.1,2.0911383018168332,0.2112049684835,-10.099999999999993,7.105427357601002e-15,0.21004257921067257,0.2123686514561306,22,False
PV012,隐裂,STR3,1.7875999999999999,-10.0,1.9862222222222221,0.19862222222222226,-10.000000000000002,-1.7763568394002505e-15,0.19751937812326484,0.19972629238465814,23,False
PV077,隐裂,STR9,1.8835333333333333,-9.4,2.0789551140544518,0.1954217807211185,-9.400000000000002,-1.7763568394002505e-15,0.1942750873322302,0.1965697404748758,24,False
PV015,隐裂,STR3,1.8104666666666664,-8.5,1.9786520947176682,0.16818542805100178,-8.5,0.0,0.16710478791188782,0.1692672498633133,25,False
PV080,隐裂,STR9,1.9186666666666665,-7.7,2.0787287829541348,0.16006211628746825,-7.699999999999994,6.217248937900877e-15,0.15893665403356794,0.1611887985546522,26,False
PV022,隐裂,STR3,1.9237333333333335,-7.5,2.079711711711712,0.15597837837837836,-7.499999999999998,1.7763568394002505e-15,0.15485481721591932,0.15710315485848209,27,False
PV036,隐裂,STR5,1.8743333333333332,-7.1,2.017581628991747,0.1432482956584138,-7.099999999999988,1.1546319456101628e-14,0.14216299085529852,0.14433476934123138,28,False
PV097,隐裂,STR10,1.953933333333333,-6.5,2.089768270944741,0.13583493761140808,-6.4999999999999964,3.552713678800501e-15,0.13471801175841797,0.13695305867665417,29,False
PV063,隐裂,STR8,1.9075333333333335,-6.4,2.0379629629629634,0.1304296296296299,-6.400000000000011,-1.0658141036401503e-14,0.1293415554369105,0.1315188669160877,30,False
