quantity,total_loss_yuan,total_waste,total_shortage
0,9000,0,1000
1,8910,0,990
2,8820,0,980
3,8730,0,970
4,8640,0,960
5,8550,0,950
6,8460,0,940
7,8370,0,930
8,8280,0,920
9,8190,0,910
10,8100,0,900
11,8010,0,890
12,7920,0,880
13,7830,0,870
14,7740,0,860
15,7650,0,850
16,7560,0,840
17,7470,0,830
18,7380,0,820
19,7290,0,810
20,7200,0,800
21,7110,0,790
22,7020,0,780
23,6930,0,770
24,6840,0,760
25,6750,0,750
26,6660,0,740
27,6570,0,730
28,6480,0,720
29,6390,0,710
30,6300,0,700
31,6210,0,690
32,6120,0,680
33,6030,0,670
34,5940,0,660
35,5850,0,650
36,5760,0,640
37,5670,0,630
38,5580,0,620
39,5490,0,610
40,5400,0,600
41,5310,0,590
42,5220,0,580
43,5130,0,570
44,5040,0,560
45,4950,0,550
46,4860,0,540
47,4770,0,530
48,4680,0,520
49,4590,0,510
50,4500,0,500
51,4410,0,490
52,4320,0,480
53,4230,0,470
54,4140,0,460
55,4050,0,450
56,3960,0,440
57,3870,0,430
58,3780,0,420
59,3690,0,410
60,3600,0,400
61,3510,0,390
62,3420,0,380
63,3330,0,370
64,3240,0,360
65,3150,0,350
66,3060,0,340
67,2970,0,330
68,2880,0,320
69,2790,0,310
70,2700,0,300
71,2610,0,290
72,2520,0,280
73,2430,0,270
74,2340,0,260
75,2250,0,250
76,2160,0,240
77,2070,0,230
78,1980,0,220
79,1890,0,210
80,1800,0,200
81,1722,1,191
82,1644,2,182
83,1566,3,173
84,1488,4,164
85,1410,5,155
86,1344,7,147
87,1278,9,139
88,1212,11,131
89,1146,13,123
90,1080,15,115
91,1026,18,108
92,972,21,101
93,918,24,94
94,864,27,87
95,810,30,80
96,768,34,74
97,726,38,68
98,684,42,62
99,642,46,56
100,600,50,50
101,582,56,46
102,564,62,42
103,546,68,38
104,528,74,34
105,510,80,30
106,504,87,27
107,498,94,24
108,492,101,21
109,486,108,18
110,480,115,15
111,486,123,13
112,492,131,11
113,498,139,9
114,504,147,7
115,510,155,5
116,528,164,4
117,546,173,3
118,564,182,2
119,582,191,1
120,600,200,0
121,630,210,0
122,660,220,0
123,690,230,0
124,720,240,0
125,750,250,0
126,780,260,0
127,810,270,0
128,840,280,0
129,870,290,0
130,900,300,0
131,930,310,0
132,960,320,0
133,990,330,0
134,1020,340,0
135,1050,350,0
136,1080,360,0
137,1110,370,0
138,1140,380,0
139,1170,390,0
140,1200,400,0
