quantity,total_loss_yuan,total_waste,total_shortage
0,3000,0,1000
1,2970,0,990
2,2940,0,980
3,2910,0,970
4,2880,0,960
5,2850,0,950
6,2820,0,940
7,2790,0,930
8,2760,0,920
9,2730,0,910
10,2700,0,900
11,2670,0,890
12,2640,0,880
13,2610,0,870
14,2580,0,860
15,2550,0,850
16,2520,0,840
17,2490,0,830
18,2460,0,820
19,2430,0,810
20,2400,0,800
21,2370,0,790
22,2340,0,780
23,2310,0,770
24,2280,0,760
25,2250,0,750
26,2220,0,740
27,2190,0,730
28,2160,0,720
29,2130,0,710
30,2100,0,700
31,2070,0,690
32,2040,0,680
33,2010,0,670
34,1980,0,660
35,1950,0,650
36,1920,0,640
37,1890,0,630
38,1860,0,620
39,1830,0,610
40,1800,0,600
41,1770,0,590
42,1740,0,580
43,1710,0,570
44,1680,0,560
45,1650,0,550
46,1620,0,540
47,1590,0,530
48,1560,0,520
49,1530,0,510
50,1500,0,500
51,1470,0,490
52,1440,0,480
53,1410,0,470
54,1380,0,460
55,1350,0,450
56,1320,0,440
57,1290,0,430
58,1260,0,420
59,1230,0,410
60,1200,0,400
61,1170,0,390
62,1140,0,380
63,1110,0,370
64,1080,0,360
65,1050,0,350
66,1020,0,340
67,990,0,330
68,960,0,320
69,930,0,310
70,900,0,300
71,870,0,290
72,840,0,280
73,810,0,270
74,780,0,260
75,750,0,250
76,720,0,240
77,690,0,230
78,660,0,220
79,630,0,210
80,600,0,200
81,576,1,191
82,552,2,182
83,528,3,173
84,504,4,164
85,480,5,155
86,462,7,147
87,444,9,139
88,426,11,131
89,408,13,123
90,390,15,115
91,378,18,108
92,366,21,101
93,354,24,94
94,342,27,87
95,330,30,80
96,324,34,74
97,318,38,68
98,312,42,62
99,306,46,56
100,300,50,50
101,306,56,46
102,312,62,42
103,318,68,38
104,324,74,34
105,330,80,30
106,342,87,27
107,354,94,24
108,366,101,21
109,378,108,18
110,390,115,15
111,408,123,13
112,426,131,11
113,444,139,9
114,462,147,7
115,480,155,5
116,504,164,4
117,528,173,3
118,552,182,2
119,576,191,1
120,600,200,0
121,630,210,0
122,660,220,0
123,690,230,0
124,720,240,0
125,750,250,0
126,780,260,0
127,810,270,0
128,840,280,0
129,870,290,0
130,900,300,0
131,930,310,0
132,960,320,0
133,990,330,0
134,1020,340,0
135,1050,350,0
136,1080,360,0
137,1110,370,0
138,1140,380,0
139,1170,390,0
140,1200,400,0
